text,lable
i go back to feeling smart again,positive
ill talk about the feel of fake products and places i trust to shop,negative
i like to look at this ring when im feeling doubtful or down and it reminds me that honestly i dont have any regrets and i know im where im suppose to be,negative
i wake up and decide that i feel like doing something else entirely well then ill just do that instead,positive
i am feeling a little sarcastic today,negative
i know these feelings premonitions and so on could simply be the product of my own troubled subconscious grabbing my conscious attention for a bit,negative
i still feel worthless deep down inside,negative
i get more angry at what you have done that i must tell you how i feel its not that you broke up with her but how you did it and the speed in which you made that decision,negative
i didnt feel the need to eat my beloved cheese and while i had a few set backs ive learnt to deal with it now,positive
i yearn to feel useful beyond our little home,positive
i empathize with the feeling of being dissatisfied not where i want to be but no i dont feel that way,negative
i just don t like to smile don t feel like talking and i don t want to be considerate,positive
i feel such an attachment to cindy her sweet family and atticus,positive
ive been feeling very very restless,negative
i was feeling really invigorated by the process,positive
im sat at work feeling pressure in my ears blowing my nose and just feeling miserable,negative
i dont know why i think its because were on a break so not actively ttc but i just feel better about the whole thing,positive
i feel disturbed when i see people break into pieces right in front of me because of love,negative
i needed to get all that out of my head and onto a screen where i can come and reread it later to see that while we have numerous blessings there are some challenges and that its okay for me to feel overwhelmed at times,negative
i feel loved because i programmed my computer to tell me it loves me,positive
i can t understand why you keep hiding your feelings when he s so fond of you,positive
i supposed to feel reassured that koyama was the one that answered,positive
im feeling more outgoing and happy since being off the medication,positive
i feel a bit more inadequate in every aspect and it just breaks me down further,negative
i have a feeling that id pick up some of the artistic skills there too,positive
i am a small town girl and feel very satisfied with staying in my comfort zone but with jene having to work today the boys and i braved the windy city on our own,positive
im happy to say im feeling so much more creative than i have in a long time,positive
i am sleeping better but yet i feel even more exhausted than ever which i just dont understand,negative
i feel weird about my self this doesn t feel like me,negative
i feel playful im going to tell my boyfriend and if he doesnt feel it too such is life it is his loss,positive
i feel slightly triumphant thank you very much,positive
im feeling quite lethargic somehow today and very worn out lately as i barely have any time to sit down as im constantly on my feet which originally i wasnt complaining about as its helping me lose weight but when youre starting to get poorly its not good to move around a lot,negative
im going to sit and crochet some more squares and try not to feel alarmed at the amount of them i need to do before these babies are born,negative
i love the snow lol it just makes everything feel so tranquil,positive
i was feeling quite groggy in the days before the race the glands in my neck were sore and swollen and i could tell my body was fighting a bug of some kind,negative
i know how old people feel when they have greedy family members who are trying to take their stuff before they even pass on,negative
i am stone and even with only the cm thickness i do not get anywhere near to feeling the slats supporting the mattress except when i sit on the edge unsurprisingly,positive
ive reserved the right to feel all stubborn and powerless about it,negative
i had a hour training class yesterday which will help me feel a little less stressed with the techniques i learned,negative
im feeling a little impressed at their creativity,neutral
i feel apprehensive and wonder if the marks i have made in the past are still there,negative
i was feeling grumpy not women problems grumpy but five year old i want to get my way kind of grumpy you don t think there s a difference,negative
i used to feel when i was still a child being very curious and innocent with everything and everyone around me,neutral
i still feel a little weird calling the ceo of my company bob but relented after he corrected me repeatedly,neutral
i am sure she is feeling all alone imagine i just take the whole house in my head when i have fever,negative
i wouldn t feel as offended as i do now because the sign would be accurate,negative
i feel shaken open as though my heart were broken into and there are no words to speak,negative
i feel an honor of my content being there,positive
i will get an angled face brush or the eco tools blush brush again and lightly sweep muas pressed powder into the hollows of my cheeks up into my temples and when im feeling brave maybe a little down my nose and on my chin,positive
i dont often try vintage style as its not really my thing but a day for daisies images are gorgeous and often i feel inspired to create vintage cards with them,positive
i feel like if i ask them to stay for me then im being the selfish one even though they are the ones making plans that they know i cant do with them,negative
i have been asking myself some difficult questions in an attempt to understand why i feel this strange push and pull between different aspects of my life,negative
i feel foolish for how much i ve analyzed this one solitary choice to go or not to go,negative
i get the feeling im watching to see charlie be charming and zen rather than because i actually care what hes going through,positive
i havent been feeling very sociable lately so im sorry if im hard to get a hold of,positive
i dont know how i feel about my beloved teams draft,positive
i hope you get that butterflies feeling again one day because it was really fantastic,positive
i tackle political ideas only when something makes me feel angry and even then it is often personal,negative
i was still feeling like i wasn t accepted and had no one else to go to,positive
i remember feeling terrified as a child,negative
i was still feeling brave,positive
i feel i should be at and the pay is too low to maintain life in the city,negative
i feel so honoured to receive this from krista know to the blogger world as a href https www,positive
i try to always be hopeful and that helps keep me feeling ok,positive
i feel remorseful for not making the most with them,negative
i feel i m being truthful,positive
i feel horrible for making everyone else so worried,negative
i feel im just so greedy that all i care about is myself,negative
im going to putter on the computer till i feel less violent and down,negative
i immediately reacted to that image feeling it was more a mark of kubricks ego than a clever nod to a film gone by,positive
i feel beaten a href http ediebloom,negative
i am feeling just so relieved right now,positive
i feel a lot more contented just having re lived a few moments of that trip through these photos,positive
i feel about him too i ve never hated to love someone as much as i do him,negative
i am no longer feeling any effects from ibs irritable bowel syndrome that i suffered with for years,negative
i resent you as much as i do that i feel needlessly and unreasonably angry whenever you re around that the slightest idiosyncrasies of yours make me sick,negative
im gonna list my favorite work out stuff because once i say stuff on my blog i feel shitty backing out on it,negative
i feel like we are just as talented as any market region in america but its up to us to come together and prove it,positive
i have felt so loved and i have so much love for the people in my life that i feel content with where i am at right now,positive
im feeling generous its easy when youre giving away other peeps stuff if after you vote you visit the a href http www,positive
i feel satisfied with our progress and proud of myself for doing it,positive
i feel most passionate about,positive
im floating in the grey region between self hate and feeling superior,positive
i had a feeling he was too horny at that moment,positive
i was feeling compassionate at that time though ive no tissue so i thought my form of compassion lol of asking around for it but i cant stand the look on her face ah,positive
i feel delighted to be a part of the so celebrated so diversified and so enchanted womanhood of which we speak too often but forget all the same more often,positive
i do my best but it feels uncomfortable,negative
i must say that i m feeling drained of any poetic inclinations,negative
i am back in the shire and although it is lovely to be reunited with fields once more i am feeling a bit restless and missing london life,negative
i see myself feeling hurt or let down or uncertain,negative
i feel even more alone although i have him,negative
i included my feelings but no violent acts were committed against her,negative
i am feeling drained it is because i am not taking this aspect seriously enough,negative
i feel like im not the only whos fed up with the world and im glad they trust their watchers with this kind of information,positive
i need that warmth to remind me hes there when life feels cold and empty,negative
i just couldnt fall asleep feeling scared,negative
i feel rude bring my own fridge i do eat food but i guess my option,negative
i had been feeling was all my fault that i had wronged her and caused her to abandon me,negative
i am feeling very bitter about it all,negative
i feel like im the supportive and encouraging one when it comes to our healthy eating and fitness,positive
im feeling really excited about my new placement,positive
i try not to feel defeated rather i strive to continue to try to create quilts that fully express my vision,negative
i feel so depressed i don t know what about just feels like i have a big rock inside me weighing me down,negative
ive been feeling miserable ever since i graduated high school,negative
i feel a little paranoid that i may forget what ive learnt,negative
i feel so ecstatic and relieved,positive
i feel those artistic yearnings in my music and i know that if i was to provide for a family and couldnt do so with the gift god has given me it would be very very hard,positive
i feel quite frustrated,negative
i feel sorry for the times that i misjudged it as well as it had to me,negative
i straight away started to feel my blood boil anger coming over me and that very nerve getting agitated,negative
i have not been feeling very sociable,positive
i left the property feeling insulted and found myself minutes later on main street an unsuspecting victim of some unknown enemy s next attack,negative
im feeling determined now to push through any hiccups and reach my ultimate goal of being within the healthy weight range kg for my height,positive
i am not feeling good pretty much everyday,positive
i can feel the cold wind,negative
i feel that he is sincere in his feelings for me and i know that i care for him very much but is that enough this time around i dont know,positive
i also has the meaning of trusting oneself trusting that we have what it takes to know ourselves thoroughly and completely without feeling hopeless without turning against ourselves because of what we see,negative
i feel real mellow now,positive
i could look for solutions instead of just feeling helpless actually made a big difference,negative
i went bowling david and some other people but i didnt really feel like being sociable so i just called and texted lisa all night who was also texting chris at the same time shes known him all her life,positive
i also feel like i have been accepted with open arms hearts and minds thanks for facilitating this welcoming and supportive community marie,positive
i would further suggest people might feel more at ease in caring giving societies,positive
im feeling gloomy this weekend,negative
i can insist and insist that i am a mother but i feel like a pretty rotten one,negative
i feel distraught and devastated,negative
i was feeling kind of rebellious and my post was a little on the,negative
i am feeling strong and indulging in the strength of my body feeling good about what it can do and how it looks while its doing it,positive
im feeling rebellious for the sake of being rebellious,negative
i focus on it when writing this i feel a bit of tightness the popular alternative to pain around the area,positive
i need to be for myself and the things i feel it is important for my children to know,positive
i guess only my wife can really know for sure but i feel at least a little bit less selfish since being married,negative
i feel kind of sorry for her,negative
i feel that the cool breeze is coming soon,positive
i have only been blogging here for a short time in fact today marks my three month blogoversary but i feel that i have been accepted into this community,positive
i get that sick feeling like the one you get when you hear that someone passed away and youre shocked and lightheaded and i realize hes really gone forever,neutral
i feel vulnerable when im alone not only because i feel so incapable of defending myself but also because i could go into labour at any point,negative
im feeling rather mellow id like to point out that there are some things that i dont understand,positive
i am feeling quite blessed and enjoying my time here,positive
i clumps everybody together in a weird way and i feel liked and respected but unloved by anybody,positive
im excited and i want her to be proud to be homeschooled and not feel ashamed,negative
i love when everything looks so bright even i feel so dull,negative
i feel drained or do i feel energized,negative
i don t feel like i m unsuccessful when i fail at reaching a goal in my freelance writing career,negative
i stopped feeling mad that the machine stole my money and chose instead to feel grateful that i have clothes to wash in the first place,negative
i didnt want to stay in this feeling of loneliness the emptiness of my prayers blank requests to a paper deity,negative
i understand that he was feeling devastated and i sympathize,negative
i feel that some people don t usually prefer to be truthful and would rather make up many different things and tell lies,positive
i get these intrusive thoughts mostly violent ones or sometimes sexual the sexual ones make me feel really agitated not pleasant at all whereas the violent ones don t tend to bother me,negative
i hope youre all feeling very fond of me by now,positive
i hope you enjoy and do not feel offended,negative
i noticed several months ago that i d start feeling resentful as i walked toward a pedestrian crossing with the intention of course of crossing the road,negative
i hate that feeling when im about to do something then i get scared and almost turn around and walk away,negative
i feel are too special to pass up but dont have a use for myself and to hopefully offset the expense of our forays,positive
i cant help but feel distraught,negative
i am feeling terrible,negative
i feel so pained by a situation or circumstance or i become so frustrated by something that is so out of my control and completely unacceptable that instead of looking like a crazy person running around cursing and screaming i throw a tantrum in my mind,negative
i have omitted the link to this article as i feel readers of this blog may be offended by the questionable adult content on the nyps webpage,negative
i need these crutches but i feel like i cant help it i resigned myself to a position of being miserable so long ago that its taking me baby steps to realize i dont have to be,negative
im actually feeling hopeful,positive
i feel like this is something i can do well and its helped me out of tough spots before,positive
i don t know about anyone else but there are times when i am feeling low and stressed and i just need to see something pretty,negative
i feel a strange disconnect,negative
i feel many petty people have judged me simply because i may be one,negative
im feeling tragic like im marlon brando,negative
i hunger for anything i feel ferocious like a tiger,negative
im putting my books in a stack and wondering when ill stop feeling so sad about the passing of ray bradbury,negative
i feel increasingly energetic and comfortable inside and out,positive
i feel like i am punished for having them too,negative
i mean i enjoy feeling pretty with make up on,positive
i am not strong that i feel scared lonely lost and confused,negative
i feel genuinely stressed with work,negative
im excited to see where this goes and at least i feel like im doing something rather than just sitting around feeling unhappy with how things are,negative
i never feel accepted,positive
i more important than going fun ipad strategy games original boots from ugg wear ugg boots this winter low cost ugg boots uggs need to get washed inside they are also lightweight so you won t feel burdened with them speed up finances with payday loans payday loans the monthly solution for you,negative
i feel im a largely unimportant person it really does mean a lot to me that people even consider coming here,negative
i want to give the feeling of being valued,positive
i can look back at it and feel satisfied that i saved all those cultures from a terrible fate and that my time spent in the job was not in vain because the results of my efforts will benefit students for decades to come,positive
i have narrowed it down to the top items i feel are a must have to make the next year of your babys life more pleasant for the both of you,positive
im locked in my world and then i feel glad,positive
i feel soo disturbed by it,negative
i am still numb i question everything about what i feel and terrified to trust all my feelings,negative
i think the answer to my problems can be found in the bottom of a bottle of cheap alcohol and logically i know that nothing waits for me there except a headache come the following morning a dull ache at my temple like the feeling of repressed tears,negative
i feel absolutely lovely now with a cup of hot green tea next to the keyboard,positive
i do not feel useful,positive
i feel a spectator to this assumption and amused and wistful that i can t ease all the pain,positive
i feel that i don t reach the deeper stages of sleep which they say are vital to a good sleep and proper functioning the following day,positive
i feel pretty content hour ago,positive
i am thankful for not attending therapy but am really no further forward in fact probably feeling more isolated misunderstood and lonely in it,negative
i already went out of my way to be as considerate as possible to others but now i feel like i am being abused,negative
i feel the matter has been resolved,positive
i rely on certain add ons that are not available to midori that i feel its inadequate,negative
i found myself a place after looking for one for a long time,positive
i wish i could live here all year round but then it probably would lose the getaway feel that i find so precious,positive
i feel like a rebellious year old that stands in the doorway flicking the lights off and on in the depths of my spirit,negative
i feel that rich people will never understand the cruelty of money,positive
i have said in previous posts i always feel so elegant wearing an azul creation,positive
i feel blessed and lucky to have gone so many places and seen so many things,positive
i feel things are perfect,positive
i find when i look at things in this way i deal with the situation better and do not feel as agitated,negative
i havent cried in the last day or two but instead i feel positively convinced that god has a plan and purpose for me and all that i do,positive
i feel humiliated when i am forced to make decisions i do not want to make simply to please my parents,negative
im feeling playful google doodle of pac man game,positive
i do feel bad,negative
i am feeling more like me except a little weepy,negative
i already can imagine and feel so excited if im in his shoe,positive
i would certainly feel what im suppose to be feeling which is brave,positive
i can walk down another street and stop feeling helpless and hopeless,negative
i had been feeling conflicted and disheartened by my choice to get a new job even though i know this is what god has for me right now,negative
i generally only post on this site when im feeling completely overwhelmed and i need a space to vent about the perils of law school however lately ive been laughing my way to the law library like a kind of deranged film villian oh this is far too easy,negative
i imagine being a man it s like being kicked in the nuts repeatedly that s how bad it feels you feel like you want to curl up and die a devastated schalm said after the bout,negative
i feel lousy about how much i have to study,negative
i love it here even when i am feeling discouraged,negative
im wondering why i feel submissive sometimes more than others because im feeling it,negative
i feel rebellious today so i ll leave this as a warning to myself on how radical i can be,negative
when i learnt that i had been accepted at the medical school,positive
i feel really wimpy saying it but,negative
im in your arms i feel safe,positive
i feel so thankful for all that ive experienced and the company in which i embarked it on,positive
i began to feel distressed and a feeling of sadness and a desire to kill myself,negative
i feel all people of reason have a duty to awaken these sincere mislead people to educate them to the fact that god gave us reason and ancient ignorant men gave us revealed religions,positive
i am going to stop feeling sorry for myself,negative
i feel pretty crappy complaining about the woes of pregnancy,negative
i am feeling the positive impact of the new meditative tools pam is giving me as well more strongly and clearly,positive
i couldn t help but feel personally insulted when oscar denounced the very idea as grotesque and unrealistic,negative
i am already feeling very much lousy i seriously do not need anyone to give me comments,negative
i also feel pressure to be successful here because of my passion for cal,positive
i asked feeling hesitant,negative
i remember laying in the bath feeling really emotional knowing that i was going to bring my baby into the world on the day that miss cook was laid to rest,negative
ive written that blog post and i am feeling even more energetic,positive
i sit here sipping my pear blueberry smoothie im feeling pretty smug,positive
i have crossed over and i am on safe footing yet still feel this way fearful for the unknown shaky uncertain,negative
having unwanted attention paid to me in my place of work harrassment and sexual harrassment by another worker disgusted by his implications,negative
i can eat plenty of it and feel totally satisfied i dont need to understand how it all works,positive
i don t want to feel annoyed resentful or angry at the fact that he s already had the experience of having and raising kids,negative
ive never owned a mac have always used microsoft and just feel disillusioned with the way theyve managed this roll out all the glitches things not working and overall that vista has been out for months and it is only now that it is starting to become stable thanks to update after update,negative
i feel time is running out so i m not bothered with myself now,negative
i feel accepted there said panorma who is from indonesia,positive
im not making some sort of music i feel useless,negative
i feel very thrilled about the move and would hope that we eventually build up a superbike cbs sportsline the irl expands to races in three more than in,positive
i do not know if i already hurt their feelings which may lead to their violent reaction may turn into a bad outcome,negative
i started today feeling not terrible,negative
i feel like my heart broke telling my children she continued,negative
i feel welcomed and loved,positive
i am finally starting to feel better but darn it how frustrating,positive
i went home from the bar and crashed at waking up at this morning feeling mostly fantastic,positive
i feel pretty the body of the email usually contains oh so pretty,positive
i know i shouldn t compare the relationships but i feel we are so disadvantaged and kept kiddy,negative
i find myself feeling agitated because of how what the kids are playing i ask myself did i play this way when i was little,negative
im also feeling a bit homesick its hard to think that ive spent this long away from home and that ive got such a short time until i get back,negative
i feel that uncertain should be a better communicator,negative
i have my drive back and am begging to feel a little bit useful again,positive
i can not drop this class because then i lose the financial aid for not having enough credits plus i feel like a quitter and im too stubborn for that,negative
i feel resentful toward my wife when weeks go by without sex,negative
im feeling very virtuous having just come home from a hour yoga session with my sister whos a yoga teacher,positive
when i heard the news that my grandfather had died,negative
i would gladly make it on the morrow since i am not feeling well,positive
i mean i feel that they do need them cos they get so passionate about their belief no matter how unrealistic it may be,positive
ive come to realize i need to stop runnin away from my fears gotta stop bein so confined and wanting to hide feeling the need to die and instead stic through this vicious hell like ride,negative
i feel awkward and laugh with me when i make mistakes and have open arms for me even though mine sometimes dangle at my sides hesitant,negative
i didnt usually feel quite so hated at this hour of the morning,negative
i feel charming,positive
id really hop to it quickly because i knew theyd cry and yell if they didnt get it quickly and i also knew scott was feeling rotten,negative
i feel so horny and naughty dressed up like this and my tgirl cock is getting a real work out as i continue to admire myself,positive
i repeat over and over in my life in which i try to take control in my life but it when it doesn t work i feel afraid that i have no control,negative
i make jokes about being happy to get rid of them for the school year but its just because i feel incredibly vulnerable about sharing them with others,negative
i always feel that accessories are the most important part of an outfit as they really pull it together so ive tried to choose jewellery which adds a little bit of sparkle to the outfits without being too in your face,positive
i definitely know how it feels to think that whoever your beloved is with doesnt deserve them,positive
i havent felt like the real me in a while so the good feeling is welcomed with open arms,positive
i lived with someone living a lie to keep me in the dark feeding me lies and faking feelings so that id be ignorantly complacent until it was no longer convenient for her to have me there,positive
i forgive myself that i have accepted and allowed myself to feel terrified when i can not move myself or speak or scream in sleep paralysis,negative
im really excited but feel gloomy also because of the weather,negative
im feeling regretful about not writing back to you i felt the exact same things you did and i would have also loved to have you read my letters,negative
im feeling deeply overwhelmed by these ordinary tasks,negative
i always thought loving someone is the greatest feeling but i realized that loving a friend is even better,positive
i attribute this feeling of melancholy to the bloody,negative
i sit in one of the rocking chairs and let my head clear in this seldom gotten alone time listen to the sound of the birds the barking of the squirrels feel the air shift from pleasant to chill,positive
i feel as though this class will still be useful because in the end when owning a business you have to spread the word of what your business is about and trying to sell or get done,positive
i think the main benefit here is that it wets the surface giving even the earliest strokes something to play against and it also helps get my ass into the deep end of the pool if i am feeling hesitant about where to begin,negative
i feel specially fond of,positive
i could almost feel it as the flames singed and tortured her frail delicate body leaving nothing behind but a foul smelling concoction of wood and burnt flesh,negative
i guess im once again feeling useless and pointless,negative
i feel cute and sexy all at once and its not so sheer i feel naked,positive
i feel ashamed of my lack of empathy at times,negative
i feel absolutely no longing for the patch of dirt which some dead stranger related to me by blood happened to have been birthed on,positive
i suppose to feel terrified,negative
i feel very miserable now,negative
i am a good person or that how i feel is acceptable or somehow normal,positive
i am so blessed and feel blessed to be able to share my creations with you,positive
i need when i feel beaten down,negative
ive been feeling pretty punished lately,negative
i didnt want to be a part of a group just to feel accepted,positive
i go shopping i feel like julia roberts in pretty woman,positive
i am feeling quite pleasant,positive
i feel honoured and great because through this work experience i am able to determine what i will do after graduating,positive
i was catapulted back into feeling more terrified of people than i had been in awhile,negative
i have been following your blog i feel like ive gotten to know the real you not some filtered version or a fake internet persona of who youd like to be,negative
i am comforted knowing that i can use my gun for my protection and will not be put behind bars for using it when i feel threatened,negative
i am feeling really lousy i take out the diy therapy chart and look up the emotion i am experiencing,negative
i feel physically beaten and so very exhausted,negative
i had it in my head as it relates to the workplace because i had just been irritable to someone a tiny bit lower in status than myself in response to someone who is higher than me making me feel momentarily pressured,negative
i only feel frightened and these are such small things,negative
i have a feeling i took so much time but kuya buddy and kuya angee have been very supportive all the way,positive
i sigh and say im tired and feeling very needy,negative
i don t usually blog when i m feeling this way but i m actually curious to see if i can put it into words,neutral
i feel very ignored,negative
i usually buy but makes me feel especially virtuous when i go the homemade route ice cream,positive
i couldn t feel anything other than some strange tugging so i was relieved to say the least,negative
i am all fluffed up with girly stuff like feeling all treasured and stuff,positive
i feel he is loyal to his staff to a fault,positive
i cried walking home from a bar feeling as though i was completely ruining the carefree mood or later in the night back at my old apartment to my best friend everything seemed to come crashing down after having fun,positive
i feel over the moon when the guy i liked started a class cbc read more href http jazzyboy,positive
i feel pretty terrified about letting down all those good people kind enough to support my work,negative
im feeling and i say useless and he says that fucker messed with your head,negative
i feel so spiteful towards people sometimes just the way they look makes me want to hurt them,negative
im not as low as my much dreaded lowests i have been feeling a zap and strain on fabulous in the last week,positive
when i had to come back from my village last christmas,negative
i have no planning at all and im feeling really bad about this,negative
im feeling today as about how i liked the books when i read them if i made this list tomorrow it would be different,positive
i feel brave and rare and golden,positive
i am tired of feeling useless tired of feeling uninteresting nor funny nor smart nor beautiful nor important,negative
i feel it all one of the many standouts from feist s dare i say masterpiece album the reminder broke down the usual barrier between audience and performer,negative
i get a feeling that facebook is looking for more ways to get popular,positive
i feel like im living my life through all the romantic teen movies i watch,positive
i feel inadequate in almost everything that i do,negative
im still feeling a bit grouchy,negative
i was measuring a week big and that was enough to just make me feel lousy about myself,negative
i think about talking to a lawyer and finishing this i feel anxious,negative
i feel so remorseful for that day all those shits i said to you,negative
i feel a bit sentimental,negative
i hope the excitement you feel about learning today continues on throughout your life and that the smart silly sensitive and creative young girl you are now grows up to be a smart silly sensitive and creative young woman,positive
i feel a peaceful calm come over me,positive
i have tested and tried all of them and that is why i feel confident making bold statements about the effectiveness of the methods i reveal,positive
i sat in my feelings for a bit longer and the lord showed me some really cool truths that i want to share the fear of man is a snare but whoever trusts in the lord is kept safe,positive
i feel insecure all the time,negative
i know that i love what i do but struggle with feeling content and balanced,positive
i feel so shitty about wearing you out,negative
i was feeling really shitty invaded disrespected and i was not even one of the actors victims,negative
i thought this was a good idea in that it gave you time to recover if you were feeling nervous or overwhelmed and also gave you the opportunity to make your escape if you felt so inclined,negative
i need to know what her thoughts and feelings are this is not a casual play anymore for me anyway,positive
i feel agitated thinking about his mother and her supposedly hidden msg,negative
i feel sort of numb,negative
i still feel annoyed and the older sd is always sick with something and i mean always,negative
i feel a bit foolish even bothering to post anything on fridays,negative
i sat in my room listening to everyone outside on the beach i didn t feel inspired at all,positive
i feel extremely drained of energy,negative
i seem to have lost all sense of direction and feel doomed to get a crappy education and a dead end job when i used to feel destined to shine,negative
i could just be who i am and feel accepted for being myself,positive
i feel ignored even if that ignoring is something i asked for specifically,negative
i walked out feeling so assured that this could really happen,positive
i feel horrible having to say not right now so often,negative
i forget that im supposed to be sad about being single or stressed about work and just smile and feel peaceful,positive
i just want to see him put more effort in making me happy and special and making me feel more assured,positive
i started feeling joyful again i could push those comments out of my heart and live joyfully again,positive
i do not have anyone that i feel comfortable enough to walk up to and tell the whole legitimate or rather illegitimate depending on the subject truth to,positive
i went through the exam i could feel my heart sink with each unsure answer each flip flop decision and random guess,negative
i am lacking sleep a bit but i also feel like i have a blank sheet of paper in front of me in many areas of church life,negative
i was a bit more bouncier than usual i didnt feel as grouchy about everything as normal,negative
i really didnt feel that much despite the terrific acting,positive
i just feel more vulnerable than other people,negative
i love the midcentury design and the vintage feel i think this is going to be perfect when paired with their current dresser which right now is white but may be red after i get my hands on it,positive
i still feel the pressure to make sure they are excited by what santa brings,positive
i feel very inadequate physically,negative
i miss it when i feel no one person who ignored me,negative
i get to my desk at nine feeling exhausted and tired and grumpy to come home and rush through my to do list and get angry that i havent finished it,negative
i had this odd realization this week as i battled feeling completely gloomy,negative
ive been quite confident in what i believe for my whole life this occasionally over whelming feeling of uncertainty has truly shaken me to my core,negative
i get the feeling that the relationship would be more sarcastic than sweet or sure,negative
i understand that this is a time when belts must be tightened but i truly feel that this is a worthwhile cost effective use of federal dollars and would much rather see it face budget cuts than total eradication,positive
i feel so lost with it these days,negative
i use it i envision how it would work if i had long thick lashes and i just have this strong feeling that it would provide me the perfect amount of lift definition and separation,positive
i was playing with friends then i decided to splash some sand into a car which was moving nearby the driver got angry and came to report to my parents,negative
i feel like i have been a little distracted lately,negative
i am even not able to keep in touch with the people who still ask about me all because i feel my life is boring there is nothing new in it,negative
i could even think about it i said uh well most days i feel like im being tortured i want to pull all my hair out and scream so i guess not,negative
i feel like someone has literally drained all of the energy from my body,negative
i feel horrible about myself and want to throw in the towel and give up,negative
i feel like i have an artistic block right now and my artwork looks stiff and forced when that happens,positive
ive found that when i make a simple mistake or i really screw up i feel foolish guilty and like i will never be myself again,negative
i got up feeling horny this morning,positive
i feel useless because i feel like i should have dealt with this ages ago,negative
i feel nervous when i think about going to australia though i feel exited at the same time,negative
i feel satisfied when i am able to translate a funny idea in my brain,positive
i still feel the days are precious commodities dissolving away never to be seen again like a frosty ice cube melting under a glaring afternoon sun,positive
i love how i feel i feel satisfied without feeling bloated or lethargic,positive
i feel so amazingly blessed that my children have been able to take part in it,positive
i think im breathing again and every breath feels lively and full,positive
i have been feeling very stressed these days,negative
i feel i am suffering from a bad case of i only want to nap,negative
i can understand that the people here are not nice to them and that they feel isolated and alone and think this life is just not worth it anymore,negative
i should feel pissed,negative
i feel devastated for the mother whose fraud of an ex husband has abducted their daughter and headed for the hinterlands gaige keeps us so totally inside her narrator s head that it s difficult not to feel some sympathy for him,negative
i feel sort of foolish it was actually very easy and what she was asking made complete sense once i got there you have to bind off the neck and work with the shoulders separately hence the need for two balls of yarn,negative
i feel reassured by how well we get on how much we love each other and i wonder why i ever worried,positive
i am sure everyone of us felt that feeling at least once while some of us might get agitated easily,negative
im supposed to be excited about my tattoo today but instead all im feeling is pissed off,negative
i feel so peaceful to be around and myself,positive
im sure shes done some writing tonight and is past that amount now but for the moment i can go to bed feeling triumphant and also happy in the knowledge that i havent given in to writing absolute and utter crap just yet and that my story is progressing nicely,positive
i began to feel strange i thought to myself here it comes,negative
i couldn t take anymore i just wanted to lock myself in my room and not deal with it all and then in other ways it may me feel more passionate about taking photos,positive
i just want him to see how it feels when he does something that i feel is obnoxious,negative
i feel helpless to make any real difference,negative
i feel helpless and scared and all of these things i cant describe and i never thought of myself as a control freak but im recognizing that feeding my feelings is my way to control something in the midst of chaos,negative
im going to be after the birth of this baby feels shaky,negative
i left feeling too dull to come up with ideas,negative
i love the feeling of carrying him in my arms and looking at his sweet sleeping face,positive
i feel a strange sense of achievement that i have scraped every nook and cranny of the shells for juicy morsels,negative
i always feel so flattered when another amazing blogger asks me to share a little of world on their blog so here it goes,neutral
i would feel disheartened so i would then go and do cardio for another hour to achieve calories,negative
i was feeling a bit shaky and a bit off centre but i think most of that was worrying about things out of my control,negative
i will not respond i am not trying to trap any one or make you feel burdened upon or threatened for your opinion,negative
i was feeling a little longing for paris this week so i did what every artist does,positive
i was not feeling so nervous because she seemed so calm and collected,negative
i always feel like they love to annoy us especially when were doing something and we dont like to be disturbed by anybody,negative
i feel like a worthless ugly fat unattractive piece of shit,negative
i get it she feel betrayed and hurt,negative
i have ever been and i feel mentally more peaceful calm and balanced,positive
im feeling a little melancholy as i listen to this song,negative
i feel that it took a lot of guts on her part and i admired her for this,positive
ive also discovered that because i feel less agitated by caffeine and cravings this coping method is unnecessary huge,negative
i feel cold spots,negative
i do not know these people since they are not a resident of this room and for them to treat me in such a way that i feel angered,negative
i feel so eager to tell you guys what have happened to me these days,positive
i am available what am i going to do with my day i need to feel useful maybe i can still contribute my time part time i dont want to let anyone down,positive
i feel like every day is special unique,positive
i feel like a harry potter fan trying to read the casual vacancy here,positive
i could feel my sciatica aching as my feet was swinging from the gas to the brakes pedals,negative
i know i never say or act that way but in reality its how i feel financially i feel disheartened because of my car,negative
im feeling positive today and tired and im going to make sure that im good with my diet and exercise from now on,positive
i think it makes me feel like the heir to an incredibly rich and diverse legacy of stories and experiences,positive
i feel like making this a stubborn battle of wills,negative
i feel safe and warm and there s lots of sunshine you d think i d get complacent,positive
i am so happy but yet i feel enraged,negative
i just want to run somewhere where i feel safe,positive
i sometimes feel shitty and guilty for buying into them without actively making any choices i am about as normative you can get in terms of the fashion blogosphere,negative
i feel a little brave and venture out of my comfort zone and into the kitchen,positive
i feel it is safe to say that i will send my first v and v for the matter before the end of the year,positive
i me still feeling cold from the swim which doesnt really count as one earlier on,negative
i dont think he touched my penis but i just remember feeling very helpless and that trust was violated,negative
im feeling gloomy today,negative
i loved that he was still small enough to ask me for help to feel safe,positive
i feel sorry for you guys,negative
i feel that the fabulous apple flavor gets kicked to the side for pumpkin,positive
i feel like i got in at that sweet spot before everyone realizes how messed up everything really is,positive
